nohup: ignoring input
/home/alanwalker/Project/Data/WebServer2.py:55: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = datetime.datetime.utcnow().isoformat()
Starting metrics logger for Web2 with full AI headers...
[2025-10-22T06:30:49.278981] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:30:54.347689] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:30:59.400959] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:04.436881] CPU=0.134, MEM=4837376.000, LATENCY=0.003, OVERALL=1574.712
[2025-10-22T06:31:09.484434] CPU=0.134, MEM=4837376.000, LATENCY=0.000, OVERALL=1574.712
[2025-10-22T06:31:14.510340] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:19.564375] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:24.591695] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:29.631706] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:34.659278] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:39.685444] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:44.712250] CPU=0.134, MEM=4837376.000, LATENCY=0.005, OVERALL=1574.712
[2025-10-22T06:31:49.770951] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:54.813649] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:31:59.858864] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:04.885596] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:09.934770] CPU=0.134, MEM=4837376.000, LATENCY=0.000, OVERALL=1574.712
[2025-10-22T06:32:14.955071] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:20.049768] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:25.073759] CPU=0.134, MEM=4837376.000, LATENCY=0.000, OVERALL=1574.711
[2025-10-22T06:32:30.090065] CPU=0.134, MEM=4837376.000, LATENCY=0.004, OVERALL=1574.712
[2025-10-22T06:32:35.209119] CPU=0.134, MEM=4837376.000, LATENCY=0.003, OVERALL=1574.712
[2025-10-22T06:32:40.255082] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:45.280206] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:50.335149] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:32:55.367444] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:00.395537] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:05.437330] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:10.466377] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:15.488918] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:20.523138] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:25.550749] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:30.600174] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:35.623111] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:40.646330] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:33:45.698979] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:50.720818] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:33:55.742535] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:00.771523] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:05.796500] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:10.820381] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:15.844428] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:20.868883] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:25.894109] CPU=0.134, MEM=4837376.000, LATENCY=0.000, OVERALL=1574.712
[2025-10-22T06:34:30.920469] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:35.952478] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:40.980190] CPU=0.134, MEM=4837376.000, LATENCY=0.006, OVERALL=1574.712
[2025-10-22T06:34:46.054887] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:51.103851] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:34:56.149015] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:01.175176] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:06.213517] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:11.244877] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:16.284891] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:21.320703] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:26.365268] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:31.402512] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:36.436866] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:41.472964] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:35:46.511305] CPU=0.134, MEM=4837376.000, LATENCY=0.007, OVERALL=1574.713
[2025-10-22T06:35:51.568654] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:35:56.600856] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:01.630152] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:06.772636] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:11.808860] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:36:16.904345] CPU=0.134, MEM=4837376.000, LATENCY=0.006, OVERALL=1574.712
[2025-10-22T06:36:22.003697] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:36:27.025568] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:32.064920] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:37.100992] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:42.124132] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:47.152614] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:36:52.198285] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:36:57.226582] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:02.248854] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:07.272231] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:12.292109] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:17.324803] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:22.352420] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:27.408480] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:32.432647] CPU=0.134, MEM=4837376.000, LATENCY=0.009, OVERALL=1574.713
[2025-10-22T06:37:37.477375] CPU=0.134, MEM=4837376.000, LATENCY=0.004, OVERALL=1574.712
[2025-10-22T06:37:42.518118] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:47.545019] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:37:52.572803] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:37:57.622886] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:02.664944] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:38:07.698837] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:12.729783] CPU=0.134, MEM=4837376.000, LATENCY=0.002, OVERALL=1574.712
[2025-10-22T06:38:17.769171] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:22.801617] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:27.832591] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:32.854429] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:37.878475] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:42.909228] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:47.931226] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:52.954018] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:38:57.979050] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:03.021631] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:08.048680] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:13.078936] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:18.101981] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:23.124997] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:28.145801] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:33.173407] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:38.202076] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:43.225905] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:48.258841] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:53.283758] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:39:58.303750] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:40:03.325057] CPU=0.134, MEM=4837376.000, LATENCY=0.000, OVERALL=1574.712
[2025-10-22T06:40:08.353943] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:40:13.376005] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:40:18.401595] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:40:23.425513] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
[2025-10-22T06:40:28.454548] CPU=0.134, MEM=4837376.000, LATENCY=0.001, OVERALL=1574.712
